"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"100","Campylobacter","Irritable bowel syndrome","5-64","Molluscs","TotalHumanCapital",0,0,0
"101","Campylobacter","Irritable bowel syndrome","5-64","Nuts","TotalHumanCapital",0,0,0
"102","Campylobacter","Irritable bowel syndrome","5-64","Other","TotalHumanCapital",5122929.33923547,2368.48917519894,16143014.2811074
"103","Campylobacter","Irritable bowel syndrome","5-64","Pork","TotalHumanCapital",2586878.61321823,223009.255925375,11331910.1342626
"104","Campylobacter","Irritable bowel syndrome","5-64","Poultry","TotalHumanCapital",33570543.8998935,14337188.8726277,64032059.1221537
"105","Campylobacter","Irritable bowel syndrome","5-64","Vegetables","TotalHumanCapital",3488558.57615519,270125.198404627,11990449.0071512
"106","Campylobacter","Irritable bowel syndrome","65+","AllFood","TotalHumanCapital",12931096.0275395,7820321.24775258,21349652.3175064
"107","Campylobacter","Irritable bowel syndrome","65+","Beef","TotalHumanCapital",734928.075519636,122972.868259283,3099219.57934276
"108","Campylobacter","Irritable bowel syndrome","65+","Crustaceans","TotalHumanCapital",0,0,0
"109","Campylobacter","Irritable bowel syndrome","65+","Dairy","TotalHumanCapital",723346.112094597,56878.4100056468,2690497.64957577
"110","Campylobacter","Irritable bowel syndrome","65+","Eggs","TotalHumanCapital",0,0,0
"111","Campylobacter","Irritable bowel syndrome","65+","Finfish","TotalHumanCapital",0,0,0
"112","Campylobacter","Irritable bowel syndrome","65+","Fruit","TotalHumanCapital",0,0,0
"113","Campylobacter","Irritable bowel syndrome","65+","Grains and seeds","TotalHumanCapital",0,0,0
"114","Campylobacter","Irritable bowel syndrome","65+","Lamb","TotalHumanCapital",531921.221312906,26276.8872915184,2339358.11773799
"115","Campylobacter","Irritable bowel syndrome","65+","Molluscs","TotalHumanCapital",0,0,0
"116","Campylobacter","Irritable bowel syndrome","65+","Nuts","TotalHumanCapital",0,0,0
"117","Campylobacter","Irritable bowel syndrome","65+","Other","TotalHumanCapital",1300363.5628094,590.558198610863,4018785.47571597
"118","Campylobacter","Irritable bowel syndrome","65+","Pork","TotalHumanCapital",653809.556201425,56620.233684137,2831041.66068494
"119","Campylobacter","Irritable bowel syndrome","65+","Poultry","TotalHumanCapital",8481404.33902176,3685325.33116455,15854157.5067119
