"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"73","Cases","Non-typhoidal Salmonella","Initial","65+","Eggs",3157.33518628342,1630.67927515684,5980.33556200269
"74","Cases","Non-typhoidal Salmonella","Initial","65+","Fin fish",10.3086914328707,5.1027846399228,20.2643070429852
"75","Cases","Non-typhoidal Salmonella","Initial","65+","Fruit",213.051839022018,93.3820585733297,459.266663794962
"76","Cases","Non-typhoidal Salmonella","Initial","65+","Lamb",430.375590693641,200.608894143101,889.293884682598
"77","Cases","Non-typhoidal Salmonella","Initial","65+","Nuts",353.736572071304,152.568854020306,771.730844850294
"78","Cases","Non-typhoidal Salmonella","Initial","65+","Other",149.742740929094,76.7239848894632,286.996646176027
"79","Cases","Non-typhoidal Salmonella","Initial","65+","Pork",751.667400118811,349.17697241576,1560.26771472238
"80","Cases","Non-typhoidal Salmonella","Initial","65+","Poultry",2045.16380773364,990.352543023141,4138.98413450504
"81","Cases","Non-typhoidal Salmonella","Initial","65+","Seeds and grains",134.048058600867,67.1474874822866,261.283367121829
"82","Cases","Non-typhoidal Salmonella","Initial","65+","Shellfish",25.7283461592517,12.2538506912049,52.3766639241994
"83","Cases","Non-typhoidal Salmonella","Initial","65+","Vegetables",710.768525448631,369.431966354011,1348.00664845998
"84","Cases","Non-typhoidal Salmonella","Initial","65+","AllFood",8670.03370588367,4823.80712569017,15289.1843842251
"85","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Beef",82.1605139290841,20.2841426295039,227.397550641889
"86","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Dairy",15.0027892637388,3.76351252286286,40.5923845852203
"87","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Eggs",495.27954866184,126.383879440747,1292.21381904063
"88","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Fin fish",1.61317805108072,0.400834587497652,4.34171590720768
"89","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Fruit",32.8442805446196,7.84414157356712,96.7297870209823
"90","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Lamb",66.9704699099834,16.4157520877453,188.079728359764
"91","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Nuts",54.6146623936514,12.9747898877945,161.46458582576
"92","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Other",23.5253453658117,5.97662029842321,61.8571377401506
"93","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Pork",116.86121938121,28.5166675522775,328.979386156548
"94","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Poultry",320.136777640117,78.9416840228352,871.153347152669
