"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"293","Non-typhoidal salmonella","5-64","All Diseases","HumanCapital",26961981.5298617,13721550.6048605,47621023.2185025
"294","Non-typhoidal salmonella","5-64","All Diseases","WTP",13531162.9189409,7179175.41649046,24085886.478822
"295","Non-typhoidal salmonella","5-64","IBS","Deaths",4490.85827303895,31.3691945427397,54793.809836411
"296","Non-typhoidal salmonella","5-64","IBS","Direct",2434093.10780353,1243584.13466433,4466927.22998637
"297","Non-typhoidal salmonella","5-64","IBS","FrictionHigh",3225533.37453949,1708306.46235404,5869224.44289946
"298","Non-typhoidal salmonella","5-64","IBS","FrictionLow",1209575.01545231,640614.923382763,2200959.1660873
"299","Non-typhoidal salmonella","5-64","IBS","HumanCapital",4031916.71817436,2135383.07794254,7336530.55362433
"300","Non-typhoidal salmonella","5-64","IBS","WTP",4187196.41927988,2062260.81978473,8184012.2284037
"301","Non-typhoidal salmonella","5-64","ReactiveArthritis","Deaths",19476.2189178446,87.8314849783926,244625.172357225
"302","Non-typhoidal salmonella","5-64","ReactiveArthritis","Direct",1393146.55208629,413642.854654337,3334360.00263197
"303","Non-typhoidal salmonella","5-64","ReactiveArthritis","FrictionHigh",6913331.64124857,1827285.04418826,16347885.5293201
"304","Non-typhoidal salmonella","5-64","ReactiveArthritis","FrictionLow",2592499.36546822,685231.891570599,6130457.07349504
"305","Non-typhoidal salmonella","5-64","ReactiveArthritis","HumanCapital",8641664.55156072,2284106.30523533,20434856.9116501
"306","Non-typhoidal salmonella","5-64","ReactiveArthritis","WTP",3532249.56105704,959071.607043118,8558388.66868735
"307","Non-typhoidal salmonella","5-64","Salmonellosis","Deaths",15396427.8329115,8529579.04633069,24947818.9238639
"308","Non-typhoidal salmonella","5-64","Salmonellosis","Direct",7009800.12370049,4919101.2332075,9623262.74703986
"309","Non-typhoidal salmonella","5-64","Salmonellosis","FrictionHigh",10721041.5854077,5916835.486147,18533976.1275308
"310","Non-typhoidal salmonella","5-64","Salmonellosis","FrictionLow",4020390.59452787,2218813.30730513,6950241.04782403
"311","Non-typhoidal salmonella","5-64","Salmonellosis","HumanCapital",13401301.9817596,7396044.35768375,23167470.1594134
"312","Non-typhoidal salmonella","5-64","Salmonellosis","WTP",5478891.33985428,3072220.69414594,9349608.60855448
"313","Non-typhoidal salmonella","65+","All Diseases","Deaths",37591369.362002,21886908.7295598,59183378.1302922
"314","Non-typhoidal salmonella","65+","All Diseases","Direct",7277288.97052565,5095205.86400895,9967967.95042157
"315","Non-typhoidal salmonella","65+","All Diseases","FrictionHigh",2600852.45517425,1246709.2203107,7386641.2265923
"316","Non-typhoidal salmonella","65+","All Diseases","FrictionLow",975319.670690343,467515.957616513,2769990.45997211
"317","Non-typhoidal salmonella","65+","All Diseases","HumanCapital",3251065.56896781,1558386.52538838,9233301.53324038
"318","Non-typhoidal salmonella","65+","All Diseases","WTP",3086492.04845742,1623054.9552844,5587262.42836519
"319","Non-typhoidal salmonella","65+","IBS","Deaths",253741.06167794,72928.9169440237,810510.54453402
"320","Non-typhoidal salmonella","65+","IBS","Direct",550296.726300753,277982.32291714,997620.02542036
"321","Non-typhoidal salmonella","65+","IBS","FrictionHigh",298511.140880207,158097.421987809,543174.936077681
"322","Non-typhoidal salmonella","65+","IBS","FrictionLow",111941.677830077,59286.5332454286,203690.60102913
"323","Non-typhoidal salmonella","65+","IBS","HumanCapital",373138.926100258,197621.777484762,678968.670097101
"324","Non-typhoidal salmonella","65+","IBS","WTP",950078.573779021,479701.298519279,1855889.78506009
"325","Non-typhoidal salmonella","65+","ReactiveArthritis","Deaths",21257.3263067579,230.874861116143,260516.951034135
"326","Non-typhoidal salmonella","65+","ReactiveArthritis","Direct",314993.677164523,87791.8395140634,727444.716086941
"327","Non-typhoidal salmonella","65+","ReactiveArthritis","FrictionHigh",644133.882028581,170253.109522919,1523176.88712211
"328","Non-typhoidal salmonella","65+","ReactiveArthritis","FrictionLow",241550.205760718,63844.9160710945,571191.332670792
"329","Non-typhoidal salmonella","65+","ReactiveArthritis","HumanCapital",805167.352535726,212816.386903648,1903971.10890264
"330","Non-typhoidal salmonella","65+","ReactiveArthritis","WTP",799261.266999373,207904.63148662,1931320.75913831
"331","Non-typhoidal salmonella","65+","Salmonellosis","Deaths",37225596.2087042,21700425.1510728,58688840.1931722
"332","Non-typhoidal salmonella","65+","Salmonellosis","Direct",6416563.04926769,4358230.54595463,8833271.853742
"333","Non-typhoidal salmonella","65+","Salmonellosis","FrictionHigh",1543278.02866723,672869.297386637,6147498.35423111
"334","Non-typhoidal salmonella","65+","Salmonellosis","FrictionLow",578729.260750212,252325.986519989,2305311.88283667
"335","Non-typhoidal salmonella","65+","Salmonellosis","HumanCapital",1929097.53583404,841086.621733297,7684372.94278889
"336","Non-typhoidal salmonella","65+","Salmonellosis","WTP",1280499.64184787,739487.29782258,2169412.31510591
"337","Non-typhoidal salmonella","All Ages","All Diseases","Deaths",56495140.1259142,38457854.8260445,79681685.6609573
"338","Non-typhoidal salmonella","All Ages","All Diseases","Direct",22494553.2366388,16745166.1410912,30364488.6540172
"339","Non-typhoidal salmonella","All Ages","All Diseases","FrictionHigh",30833241.7298602,16088286.464169,54919080.1190534
"340","Non-typhoidal salmonella","All Ages","All Diseases","FrictionLow",11562465.6486976,6033107.42406339,20594655.044645
"341","Non-typhoidal salmonella","All Ages","All Diseases","HumanCapital",38541552.1623253,20110358.0802113,68648850.1488167
"342","Non-typhoidal salmonella","All Ages","All Diseases","WTP",21823392.9845218,11406453.5391389,38614021.9292876
"343","Non-typhoidal salmonella","All Ages","IBS","Deaths",295443.902484109,94849.7101258455,861473.273371314
"344","Non-typhoidal salmonella","All Ages","IBS","Direct",3586599.78356409,1842390.05211244,6491408.42353196
"345","Non-typhoidal salmonella","All Ages","IBS","FrictionHigh",4578692.56241417,2424966.41183296,8331451.3239783
"346","Non-typhoidal salmonella","All Ages","IBS","FrictionLow",1717009.71090531,909362.40443736,3124294.24649186
"347","Non-typhoidal salmonella","All Ages","IBS","HumanCapital",5723365.70301771,3031208.0147912,10414314.1549729
"348","Non-typhoidal salmonella","All Ages","IBS","WTP",6777405.87006503,3519488.96980169,12632499.1764421
"349","Non-typhoidal salmonella","All Ages","ReactiveArthritis","Deaths",151346.257670177,15339.9204458817,720380.049673148
"350","Non-typhoidal salmonella","All Ages","ReactiveArthritis","Direct",2230844.83585797,695570.405882527,5016467.69709701
"351","Non-typhoidal salmonella","All Ages","ReactiveArthritis","FrictionHigh",9812090.82300643,2593465.45826325,23202552.0981417
"352","Non-typhoidal salmonella","All Ages","ReactiveArthritis","FrictionLow",3679534.05862741,972549.546848719,8700957.03680313
"353","Non-typhoidal salmonella","All Ages","ReactiveArthritis","HumanCapital",12265113.528758,3241831.82282906,29003190.1226771
"354","Non-typhoidal salmonella","All Ages","ReactiveArthritis","WTP",5688015.08597643,1523290.29824373,13545579.7387007
"355","Non-typhoidal salmonella","All Ages","Salmonellosis","Deaths",55979522.6298625,37444720.7741823,79273295.9789195
"356","Non-typhoidal salmonella","All Ages","Salmonellosis","Direct",16408472.4497853,13060267.7490896,20661905.42666
"357","Non-typhoidal salmonella","All Ages","Salmonellosis","FrictionHigh",15713864.1754837,8648577.39196138,27724047.3136096
"358","Non-typhoidal salmonella","All Ages","Salmonellosis","FrictionLow",5892699.06580638,3243216.52198552,10396517.7426036
"359","Non-typhoidal salmonella","All Ages","Salmonellosis","HumanCapital",19642330.2193546,10810721.7399517,34655059.142012
"360","Non-typhoidal salmonella","All Ages","Salmonellosis","WTP",8885647.08229803,5009276.46600669,15111427.3121839
"361","Norovirus","<5","All Diseases","Deaths",44439.7440755252,311.05425322212,463031.706593828
"362","Norovirus","<5","All Diseases","Direct",1616364.57370526,702958.177108153,2911965.91173056
"363","Norovirus","<5","All Diseases","FrictionHigh",3624252.47292823,1169810.96135237,8009134.47594969
"364","Norovirus","<5","All Diseases","FrictionLow",1359094.67734809,438679.110507138,3003425.42848113
"365","Norovirus","<5","All Diseases","HumanCapital",4530315.59116029,1462263.70169046,10011418.0949371
"366","Norovirus","<5","All Diseases","WTP",510723.31989123,191750.387275023,974717.504284446
"367","Norovirus","<5","Norovirus","Deaths",44439.7440755252,311.05425322212,463031.706593828
"368","Norovirus","<5","Norovirus","Direct",1616364.57370526,702958.177108153,2911965.91173056
"369","Norovirus","<5","Norovirus","FrictionHigh",3624252.47292823,1169810.96135237,8009134.47594969
"370","Norovirus","<5","Norovirus","FrictionLow",1359094.67734809,438679.110507138,3003425.42848113
"371","Norovirus","<5","Norovirus","HumanCapital",4530315.59116029,1462263.70169046,10011418.0949371
"372","Norovirus","<5","Norovirus","WTP",510723.31989123,191750.387275023,974717.504284446
"373","Norovirus","5-64","All Diseases","Deaths",1413329.46579955,310947.762116351,3658804.38314038
"374","Norovirus","5-64","All Diseases","Direct",9031072.97185148,3383278.21748303,18323624.8400367
"375","Norovirus","5-64","All Diseases","FrictionHigh",67044864.8095062,20112665.9440687,138823494.547361
"376","Norovirus","5-64","All Diseases","FrictionLow",25141824.3035648,7542249.72902577,52058810.4552602
"377","Norovirus","5-64","All Diseases","HumanCapital",83806081.0118828,25140832.4300859,173529368.184201
"378","Norovirus","5-64","All Diseases","WTP",5735982.83658867,1804833.63550605,11641102.6899172
"379","Norovirus","5-64","Norovirus","Deaths",1413329.46579955,310947.762116351,3658804.38314038
"380","Norovirus","5-64","Norovirus","Direct",9031072.97185148,3383278.21748303,18323624.8400367
"381","Norovirus","5-64","Norovirus","FrictionHigh",67044864.8095062,20112665.9440687,138823494.547361
"382","Norovirus","5-64","Norovirus","FrictionLow",25141824.3035648,7542249.72902577,52058810.4552602
"383","Norovirus","5-64","Norovirus","HumanCapital",83806081.0118828,25140832.4300859,173529368.184201
"384","Norovirus","5-64","Norovirus","WTP",5735982.83658867,1804833.63550605,11641102.6899172
"385","Norovirus","65+","All Diseases","Deaths",2252258.3206967,582251.599168656,5397884.45673476
"386","Norovirus","65+","All Diseases","Direct",4623668.12776783,2202428.08746577,8309834.93290745
"387","Norovirus","65+","All Diseases","FrictionHigh",7077428.03108346,1516965.08510425,37589801.5764044
"388","Norovirus","65+","All Diseases","FrictionLow",2654035.5116563,568861.906914094,14096175.5911516
"389","Norovirus","65+","All Diseases","HumanCapital",8846785.03885432,1896206.35638031,46987251.9705055
"390","Norovirus","65+","All Diseases","WTP",1210650.00192834,405385.121356076,2420073.57677117
"391","Norovirus","65+","Norovirus","Deaths",2252258.3206967,582251.599168656,5397884.45673476
"392","Norovirus","65+","Norovirus","Direct",4623668.12776783,2202428.08746577,8309834.93290745
"393","Norovirus","65+","Norovirus","FrictionHigh",7077428.03108346,1516965.08510425,37589801.5764044
"394","Norovirus","65+","Norovirus","FrictionLow",2654035.5116563,568861.906914094,14096175.5911516
"395","Norovirus","65+","Norovirus","HumanCapital",8846785.03885432,1896206.35638031,46987251.9705055
"396","Norovirus","65+","Norovirus","WTP",1210650.00192834,405385.121356076,2420073.57677117
"397","Norovirus","All Ages","All Diseases","Deaths",3953898.10311049,1709819.11946792,7750827.24144839
"398","Norovirus","All Ages","All Diseases","Direct",15497122.434969,7752189.03011162,27028402.6717869
"399","Norovirus","All Ages","All Diseases","FrictionHigh",80038086.8403491,24915235.889244,174197478.739598
"400","Norovirus","All Ages","All Diseases","FrictionLow",30014282.5651309,9343213.45846651,65324054.5273494
"401","Norovirus","All Ages","All Diseases","HumanCapital",100047608.550436,31144044.861555,217746848.424498
"402","Norovirus","All Ages","All Diseases","WTP",7430917.09810766,2408226.63820615,15066476.378356
"403","Norovirus","All Ages","Norovirus","Deaths",3953898.10311049,1709819.11946792,7750827.24144839
"404","Norovirus","All Ages","Norovirus","Direct",15497122.434969,7752189.03011162,27028402.6717869
"405","Norovirus","All Ages","Norovirus","FrictionHigh",80038086.8403491,24915235.889244,174197478.739598
"406","Norovirus","All Ages","Norovirus","FrictionLow",30014282.5651309,9343213.45846651,65324054.5273494
"407","Norovirus","All Ages","Norovirus","HumanCapital",100047608.550436,31144044.861555,217746848.424498
"408","Norovirus","All Ages","Norovirus","WTP",7430917.09810766,2408226.63820615,15066476.378356
"409","Salmonella Typhi","<5","All Diseases","Deaths",16614.6964310889,125.94771323915,159192.216590093
"410","Salmonella Typhi","<5","All Diseases","Direct",32192.9009916364,10552.4782439673,68261.7591996805
"411","Salmonella Typhi","<5","All Diseases","FrictionHigh",2661.49453629717,869.413703432157,5625.56350071918
"412","Salmonella Typhi","<5","All Diseases","FrictionLow",998.06045111144,326.030138787059,2109.58631276969
"413","Salmonella Typhi","<5","All Diseases","HumanCapital",3326.86817037147,1086.7671292902,7031.95437589898
"414","Salmonella Typhi","<5","All Diseases","WTP",2139.90927229826,699.030721297677,4523.09607737909
"415","Salmonella Typhi","<5","Typhoid Fever","Deaths",16614.6964310889,125.94771323915,159192.216590093
"416","Salmonella Typhi","<5","Typhoid Fever","Direct",32192.9009916364,10552.4782439673,68261.7591996805
"417","Salmonella Typhi","<5","Typhoid Fever","FrictionHigh",2661.49453629717,869.413703432157,5625.56350071918
"418","Salmonella Typhi","<5","Typhoid Fever","FrictionLow",998.06045111144,326.030138787059,2109.58631276969
"419","Salmonella Typhi","<5","Typhoid Fever","HumanCapital",3326.86817037147,1086.7671292902,7031.95437589898
