"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"420","Salmonella Typhi","<5","Typhoid Fever","WTP",2139.90927229826,699.030721297677,4523.09607737909
"421","Salmonella Typhi","5-64","All Diseases","Deaths",18526.8388304666,147.820332859819,215019.007683159
"422","Salmonella Typhi","5-64","All Diseases","Direct",236556.4527812,77409.4058079523,498700.290427435
"423","Salmonella Typhi","5-64","All Diseases","FrictionHigh",25418.9403294393,8303.445582077,53727.6560196126
"424","Salmonella Typhi","5-64","All Diseases","FrictionLow",9532.10262353974,3113.79209327888,20147.8710073547
"425","Salmonella Typhi","5-64","All Diseases","HumanCapital",31773.6754117991,10379.3069775963,67159.5700245157
"426","Salmonella Typhi","5-64","All Diseases","WTP",15692.6679968539,5126.2252895163,33169.3712341133
"427","Salmonella Typhi","5-64","Typhoid Fever","Deaths",18526.8388304666,147.820332859819,215019.007683159
"428","Salmonella Typhi","5-64","Typhoid Fever","Direct",236556.4527812,77409.4058079523,498700.290427435
"429","Salmonella Typhi","5-64","Typhoid Fever","FrictionHigh",25418.9403294393,8303.445582077,53727.6560196126
"430","Salmonella Typhi","5-64","Typhoid Fever","FrictionLow",9532.10262353974,3113.79209327888,20147.8710073547
"431","Salmonella Typhi","5-64","Typhoid Fever","HumanCapital",31773.6754117991,10379.3069775963,67159.5700245157
"432","Salmonella Typhi","5-64","Typhoid Fever","WTP",15692.6679968539,5126.2252895163,33169.3712341133
"433","Salmonella Typhi","65+","All Diseases","Deaths",24250.9505258642,258.025524673543,238364.138228997
"434","Salmonella Typhi","65+","All Diseases","Direct",2688.36023051062,880.483679667266,5668.70194098067
"435","Salmonella Typhi","65+","All Diseases","FrictionHigh",203.457522892581,66.4621910948087,430.045299406711
"436","Salmonella Typhi","65+","All Diseases","FrictionLow",76.2965710847179,24.9233216605532,161.266987277517
"437","Salmonella Typhi","65+","All Diseases","HumanCapital",254.321903615726,83.0777388685108,537.556624258388
"438","Salmonella Typhi","65+","All Diseases","WTP",178.325772691521,58.2525601081397,376.924673114924
"439","Salmonella Typhi","65+","Typhoid Fever","Deaths",24250.9505258642,258.025524673543,238364.138228997
"440","Salmonella Typhi","65+","Typhoid Fever","Direct",2688.36023051062,880.483679667266,5668.70194098067
"441","Salmonella Typhi","65+","Typhoid Fever","FrictionHigh",203.457522892581,66.4621910948087,430.045299406711
"442","Salmonella Typhi","65+","Typhoid Fever","FrictionLow",76.2965710847179,24.9233216605532,161.266987277517
"443","Salmonella Typhi","65+","Typhoid Fever","HumanCapital",254.321903615726,83.0777388685108,537.556624258388
"444","Salmonella Typhi","65+","Typhoid Fever","WTP",178.325772691521,58.2525601081397,376.924673114924
"445","Salmonella Typhi","All Ages","All Diseases","Deaths",110685.582440252,14134.3691943026,421909.664728187
"446","Salmonella Typhi","All Ages","All Diseases","Direct",271442.637503919,88864.8023742498,572630.751568096
