 NtS01, NtS02, NtS03, NtS04, NtS05, NtS06, NtS07, NtS08, NtS09, NtS10, NtS11, NtS12, NtS13, NtS14, Cam01, Cam02, Cam03, Cam04, Cam06, Cam13, Cam14, Lim01, Lim02, Lim03, Lim04, Lim06, Lim07, Lim08, Lim09, Lim10, Lim13, Tog01, Tog02, Tog03, Tog04, Tog06, Tog10, Tog13, Tog14, STC01, STC02, STC03, STC06, STC10, STC11, STC12, STC13, STC14, Yer01, Yer02, Yer03, Yer06, Yer07, Yer13, Yer14, Vib07, Vib08, Vib09, BaC01, BaC02, BaC03, BaC04, BaC05, BaC06, BaC07, BaC08, BaC09, BaC10, BaC11, BaC12, BaC13, BaC14
12.773222,9.171846513,11.72438972,41.99891669,44.98993438,15.54587777,3.071975353,3.303735658,3.827510288,11.60747959,14.80738983,7.670489045,44.28573351,4.119096875,12.98530575,9.596948949,11.98225948,85.60238906,11.29608486,13.02181637,18.07813591,12.57886887,7.269765098,21.97170771,11.68617818,37.95503392,32.82109888,13.85012957,6.952876543,21.11226782,36.25097764,51.0054777,52.23214993,34.89299633,10.66010455,12.69016772,8.984645534,41.36383383,32.69879101,57.71945279,29.9835709,20.63301235,32.09948582,9.495584362,7.910892003,4.119233011,49.26347347,17.27633433,26.08875765,25.82579346,76.6067512,22.835334,6.851518185,42.88803693,77.34207315,16.11285841,32.15879324,91.25306974,13.18030175,13.14341086,13.04269714,15.22113313,7.110067512,17.37229796,4.759763875,5.941804877,3.949194865,11.64689445,67.71731843,9.57734846,34.76755756,13.21715415
12.79224324,9.189837838,11.74583784,42.05459459,45.05675676,15.57916216,3.077751351,3.312408108,3.835,11.62656757,14.83821622,7.68672973,44.33540541,4.127567568,13.00616216,9.612324324,12.00175676,85.64756757,11.3117027,13.0382973,18.09837838,12.60189189,7.282864865,22.00562162,11.71016216,38.01540541,32.87837838,13.87581081,6.963,21.13513514,36.28594595,51.08513514,52.31405405,34.94351351,10.67567568,12.71259459,8.996108108,41.4327027,32.75702703,57.77837838,30.04221622,20.674,32.16375676,9.509,7.924594595,4.126702703,49.34675676,17.30740541,26.13351351,25.87035135,76.66756757,22.87827027,6.864864865,42.96162162,77.55215946,16.13432432,32.20459459,91.29324324,13.20354054,13.16672973,13.06567568,15.24691892,7.122675676,17.39667568,4.769702703,5.958041892,3.96000027,11.66691892,67.8072973,9.599459459,34.82081081,13.23543243
12.81126449,9.207829162,11.76728595,42.11027249,45.12357913,15.61244656,3.08352735,3.321080558,3.842489712,11.64565554,14.8690426,7.702970415,44.3850773,4.13603826,13.02701857,9.6276997,12.02125403,85.69274608,11.32732054,13.05477822,18.11862084,12.62491491,7.295964631,22.03953554,11.73414615,38.07577689,32.93565788,13.90149205,6.973123457,21.15800245,36.32091425,51.16479257,52.39595818,34.9940307,10.6912468,12.73502147,9.007570682,41.50157157,32.81526304,57.83730397,30.10086153,20.71498765,32.22802769,9.522415638,7.938297186,4.134172395,49.43004004,17.33847648,26.17826938,25.91490924,76.72838394,22.92120654,6.878211545,43.03520632,77.76224577,16.15579023,32.25039595,91.33341675,13.22677933,13.1900486,13.08865421,15.2727047,7.135283839,17.42105339,4.77964153,5.974278907,3.970805676,11.68694339,67.89727617,9.621570459,34.87406406,13.25371071
12.83028573,9.225820487,11.78873407,42.16595039,45.19040151,15.64573095,3.089303348,3.329753009,3.849979424,11.66474352,14.89986898,7.7192111,44.43474919,4.144508953,13.04787499,9.643075075,12.04075131,85.73792459,11.34293838,13.07125915,18.13886331,12.64793794,7.309064398,22.07344945,11.75813013,38.13614837,32.99293738,13.92717328,6.983246914,21.18086976,36.35588255,51.24445001,52.47786231,35.04454788,10.70681793,12.75744834,9.019033255,41.57044044,32.87349905,57.89622956,30.15950684,20.75597531,32.29229863,9.535831276,7.951999778,4.141642087,49.51332332,17.36954755,26.22302525,25.95946713,76.78920031,22.96414281,6.891558225,43.10879101,77.97233208,16.17725615,32.29619731,91.37359026,13.25001813,13.21336748,13.11163274,15.29849049,7.147892003,17.4454311,4.789580358,5.990515921,3.981611081,11.70696786,67.98725503,9.643681459,34.92731732,13.27198899
12.84930697,9.243811812,11.81018218,42.22162829,45.25722389,15.67901535,3.095079346,3.338425459,3.857469136,11.6838315,14.93069536,7.735451785,44.48442109,4.152979646,13.0687314,9.65845045,12.06024858,85.7831031,11.35855622,13.08774007,18.15910577,12.67096096,7.322164164,22.10736336,11.78211411,38.19651985,33.05021688,13.95285452,6.99337037,21.20373707,36.39085085,51.32410744,52.55976643,35.09506507,10.72238906,12.77987521,9.030495829,41.63930931,32.93173507,57.95515516,30.21815215,20.79696296,32.35656957,9.549246914,7.965702369,4.149111778,49.59660661,17.40061862,26.26778111,26.00402503,76.85001668,23.00707908,6.904904905,43.18237571,78.18241839,16.19872206,32.34199867,91.41376376,13.27325692,13.23668635,13.13461128,15.32427628,7.160500167,17.46980881,4.799519186,6.006752936,3.992416486,11.72699233,68.0772339,9.665792459,34.98057057,13.29026727
12.86832822,9.261803136,11.8316303,42.2773062,45.32404627,15.71229974,3.100855344,3.347097909,3.864958848,11.70291948,14.96152174,7.75169247,44.53409298,4.161450339,13.08958781,9.673825826,12.07974586,85.82828161,11.37417406,13.104221,18.17934824,12.69398398,7.335263931,22.14127728,11.8060981,38.25689134,33.10749639,13.97853576,7.003493827,21.22660438,36.42581915,51.40376488,52.64167056,35.14558225,10.73796018,12.80230208,9.041958403,41.70817818,32.98997108,58.01408075,30.27679746,20.83795062,32.42084051,9.562662551,7.979404961,4.15658147,49.67988989,17.43168969,26.31253698,26.04858292,76.91083306,23.05001535,6.918251585,43.2559604,78.39250469,16.22018797,32.38780002,91.45393727,13.29649572,13.26000523,13.15758981,15.35006206,7.173108331,17.49418652,4.809458014,6.022989951,4.003221892,11.74701679,68.16721277,9.687903459,35.03382382,13.30854555
12.88734946,9.279794461,11.85307841,42.3329841,45.39086865,15.74558414,3.106631342,3.355770359,3.87244856,11.72200745,14.99234813,7.767933155,44.58376488,4.169921032,13.11044422,9.689201201,12.09924313,85.87346013,11.3897919,13.12070192,18.1995907,12.71700701,7.348363697,22.17519119,11.83008208,38.31726282,33.16477589,14.00421699,7.013617284,21.24947169,36.46078745,51.48342231,52.72357469,35.19609943,10.75353131,12.82472895,9.053420977,41.77704705,33.0482071,58.07300634,30.33544278,20.87893827,32.48511144,9.576078189,7.993107552,4.164051162,49.76317317,17.46276076,26.35729285,26.09314081,76.97164943,23.09295162,6.931598265,43.3295451,78.602591,16.24165388,32.43360138,91.49411078,13.31973451,13.2833241,13.18056835,15.37584785,7.185716494,17.51856423,4.819396841,6.039226966,4.014027297,11.76704126,68.25719164,9.710014459,35.08707708,13.32682382
12.9063707,9.297785786,11.87452653,42.388662,45.45769102,15.77886854,3.112407341,3.364442809,3.879938272,11.74109543,15.02317451,7.784173841,44.63343677,4.178391725,13.13130063,9.704576577,12.11874041,85.91863864,11.40540974,13.13718285,18.21983317,12.74003003,7.361463463,22.20910511,11.85406607,38.3776343,33.22205539,14.02989823,7.023740741,21.27233901,36.49575576,51.56307975,52.80547881,35.24661662,10.76910244,12.84715582,9.06488355,41.84591592,33.10644311,58.13193193,30.39408809,20.91992593,32.54938238,9.589493827,8.006810143,4.171520854,49.84645646,17.49383183,26.40204872,26.1376987,77.0324658,23.13588789,6.944944945,43.4031298,78.81267731,16.26311979,32.47940274,91.53428428,13.34297331,13.30664298,13.20354688,15.40163363,7.198324658,17.54294194,4.829335669,6.055463981,4.024832703,11.78706573,68.3471705,9.732125459,35.14033033,13.3451021
12.92539195,9.31577711,11.89597464,42.4443399,45.5245134,15.81215293,3.118183339,3.37311526,3.887427984,11.76018341,15.05400089,7.800414526,44.68310866,4.186862418,13.15215705,9.719951952,12.13823768,85.96381715,11.42102758,13.15366377,18.24007563,12.76305305,7.37456323,22.24301902,11.87805005,38.43800578,33.27933489,14.05557947,7.033864198,21.29520632,36.53072406,51.64273718,52.88738294,35.2971338,10.78467356,12.86958269,9.076346124,41.91478478,33.16467912,58.19085752,30.4527334,20.96091358,32.61365332,9.602909465,8.020512735,4.178990546,49.92973974,17.5249029,26.44680458,26.18225659,77.09328217,23.17882416,6.958291625,43.47671449,79.02276362,16.2845857,32.52520409,91.57445779,13.3662121,13.32996185,13.22652541,15.42741942,7.210932822,17.56731965,4.839274497,6.071700995,4.035638108,11.8070902,68.43714937,9.754236459,35.19358358,13.36338038
12.94441319,9.333768435,11.91742276,42.5000178,45.59133578,15.84543733,3.123959337,3.38178771,3.894917695,11.77927138,15.08482727,7.816655211,44.73278056,4.195333111,13.17301346,9.735327327,12.15773496,86.00899566,11.43664542,13.1701447,18.2603181,12.78607608,7.387662996,22.27693293,11.90203403,38.49837727,33.33661439,14.08126071,7.043987654,21.31807363,36.56569236,51.72239462,52.96928706,35.34765098,10.80024469,12.89200957,9.087808698,41.98365365,33.22291514,58.24978312,30.51137871,21.00190123,32.67792426,9.616325103,8.034215326,4.186460238,50.01302302,17.55597397,26.49156045,26.22681448,77.15409854,23.22176043,6.971638305,43.55029919,79.23284993,16.30605161,32.57100545,91.6146313,13.3894509,13.35328073,13.24950395,15.45320521,7.223540985,17.59169736,4.849213324,6.08793801,4.046443514,11.82711467,68.52712824,9.776347459,35.24683684,13.38165866
